cleaned_method,target_block,tokens_in_method
"def _get_params(self, params):
    from . import API_KEY
    if not API_KEY:
        raise APIKeyError
    api_dict = {""api_key"": API_KEY}
    if params:
        params.update(api_dict)
        for key, value in params.items():
            if isinstance(params[key], bool):
                params[key] = ""true"" if value is True else ""false""
    else:
        params = api_dict
    return params
","if isinstance ( params [ key ] , bool ) :",126
"def _conv_has_norm(module, sync_bn):
    for m in module.modules():
        if isinstance(m, ConvModule):
            if not m.with_norm:
                return False
            if sync_bn:
                if not isinstance(m.bn, SyncBatchNorm):
                    return False
    return True
",if not m . with_norm :,91
"def quads(self, quad):
    for s, p, o, c in super(Dataset, self).quads(quad):
        if c.identifier == self.default_context:
            yield (s, p, o, None)
        else:
            yield (s, p, o, c.identifier)
",if c . identifier == self . default_context :,80
"def handleMessages(self, msgs):
    for msg in msgs:
        if msg.has_key(""method"") and msg.has_key(""params""):
            if msg.has_key(""id""):
                if msg[""id""]:
                    self.handleRequest(msg)
                else:
                    self.handleNotification(msg)
            else:
                self.handleNotification(msg)
        elif msg.has_key(""result"") and msg.has_key(""error""):
            self.handleResponse(msg)
        else:  # unknown object
            self.sendResponse(None, InvalidJSONMessage())
            self.close()
","if msg . has_key ( ""id"" ) :",175
"def decode(self, probabilities) -> Prediction:
    last_char = self.blank
    chars = np.argmax(probabilities, axis=1)
    sentence = []
    for idx, c in enumerate(chars):
        if c != self.blank:
            if c != last_char:
                sentence.append((c, idx, idx + 1))
            else:
                _, start, end = sentence[-1]
                del sentence[-1]
                sentence.append((c, start, idx + 1))
        last_char = c
    return self.find_alternatives(probabilities, sentence, self.threshold)
",if c != last_char :,160
"def redrawRunning(self):
    """"""Forces the running frames to be redrawn with current values""""""
    # pylint: disable=broad-except
    try:
        items = self.findItems(""Running"", QtCore.Qt.MatchExactly, STATUS_COLUMN)
        if items:
            self.dataChanged(
                self.indexFromItem(items[0], RUNTIME_COLUMN),
                self.indexFromItem(items[-1], LASTLINE_COLUMN),
            )
    except Exception as e:
        list(map(logger.warning, cuegui.Utils.exceptionOutput(e)))
",if items :,150
"def get_coords_of_dots(self):
    """"""Yiels the cordinates of every dot char in the world.""""""
    for y, line in enumerate(self.map):
        if line and line[0] == ""%"":
            continue
        for x, char in enumerate(line):
            if char.isDot():
                yield Pos(x, y)
","if line and line [ 0 ] == ""%"" :",93
"def consume(self):
    try:
        if self.data[self.p] == 10:  # \n
            self.line += 1
            self.charPositionInLine = 0
        else:
            self.charPositionInLine += 1
        self.p += 1
    except IndexError:
        # happend when we reached EOF and self.data[self.p] fails
        # just do nothing
        pass
",if self . data [ self . p ] == 10 :,111
"def maybe_schedule(s, relative=False, app=None):
    """"""Return schedule from number, timedelta, or actual schedule.""""""
    if s is not None:
        if isinstance(s, numbers.Number):
            s = timedelta(seconds=s)
        if isinstance(s, timedelta):
            return schedule(s, relative, app=app)
        else:
            s.app = app
    return s
","if isinstance ( s , timedelta ) :",105
"def test(self, text, s, e):
    ret = {}
    if self.lastMatch:
        n1 = len(self.lastMatch)
        n2 = e - s
        if n2 > n1:
            if n2 != n1 + 1:
                ret[s] = ""expected %d, %d found"" % (n1 + 1, n2)
    self.lastMatch = text[s:e]
    return ret
",if n2 > n1 :,116
"def _FillMetadata(self, vaddr, metadata):
    address_space = self.session.GetParameter(""default_address_space"")
    for type, _, addr in address_space.describe_vtop(vaddr):
        if type == ""pte"" and addr:
            metadata[""type""] = ""Valid""
            return self.profile._MMPTE(addr, vm=self.physical_address_space)
","if type == ""pte"" and addr :",102
"def quadruples_gen(s):
    t = []
    for c in s:
        res = table_a2b_hqx[ord(c)]
        if res == SKIP:
            continue
        elif res == FAIL:
            raise Error(""Illegal character"")
        elif res == DONE:
            yield t
            raise Done
        else:
            t.append(res)
        if len(t) == 4:
            yield t
            t = []
    yield t
",if res == SKIP :,135
"def renameGlyphOrderFile(filename, newNames, dryRun=False, print=print):
    lines = []
    didRename = False
    for line in readLines(filename):
        line = line.lstrip()
        if len(line) > 0 and line[0] != ""#"":
            newName = newNames.get(line)
            if newName is not None:
                didRename = True
                line = newName
        lines.append(line)
    if didRename:
        print(""Writing"", filename)
        if not dryRun:
            with open(filename, ""w"") as f:
                f.write(""\n"".join(lines))
","if len ( line ) > 0 and line [ 0 ] != ""#"" :",173
"def getfnl(startdir):
    filenamelist = []
    for root, dirs, files in os.walk(startdir):
        for fn in files:
            fullfn = os.path.join(root, fn)
            if fn.endswith("".xml""):
                try:
                    doc = ET.parse(fullfn)
                except Exception as e:
                    raise Exception(""Oops, bad XML in '%s': %s"" % (fullfn, e))
                rootelement = doc.getroot()
                # here we check if this xml file actually is a tool conf xml!
                if rootelement.tag == ""tool"":
                    filenamelist.append(fullfn)
    return filenamelist
","if rootelement . tag == ""tool"" :",191
"def find_nonterminal_transitions(self, C):
    trans = []
    for stateno, state in enumerate(C):
        for p in state:
            if p.lr_index < p.len - 1:
                t = (stateno, p.prod[p.lr_index + 1])
                if t[1] in self.grammar.Nonterminals:
                    if t not in trans:
                        trans.append(t)
    return trans
",if t not in trans :,123
"def validate_project_urls(metadata):
    probs = []
    for prurl in metadata.get(""project_urls"", []):
        name, url = prurl.split("","", 1)
        url = url.lstrip()
        if not name:
            probs.append(""No name for project URL {!r}"".format(url))
        elif len(name) > 32:
            probs.append(""Project URL name {!r} longer than 32 characters"".format(name))
        probs.extend(validate_url(url))
    return probs
",elif len ( name ) > 32 :,131
"def check_helper(self, fn, node, s):
    cct = self.CCTraverser(controller=self)
    for n in 1, 2:
        if self.test_kind is ""test"":
            g.trace(""===== PASS"", n)
        # Init this pass.
        self.file_name = fn
        self.indent = 0
        self.pass_n = n
        cct.visit(node)
    self.end_file()
","if self . test_kind is ""test"" :",120
"def initialize(self):
    try:
        if DEBUG_ON:
            print(""connect again"")
        self._mqttc = mqtt.Client(None)
        self._mqttc.on_message = self.mqtt_on_message
        self._mqttc.on_connect = self.mqtt_on_connect
        self._mqttc.on_subscribe = self.mqtt_on_subscribe
        self._mqttc.on_publish = self.mqtt_on_publish
        self._mqttc.on_disconnect = self.on_disconnect
        # Enable this line if you are doing the snip code, off stress
        # self._mqttc.loop_start()
    except TypeError:
        print(""Connect to mqtter error"")
        return
",if DEBUG_ON :,188
"def __init__(self, version, plugins):
    self.version = version
    self.brand = ""vanilla""
    self.plugins = []
    if plugins:
        parts = plugins.split("":"", 1)
        self.brand = parts[0].strip()
        if len(parts) == 2:
            self.plugins = [s.strip() for s in parts[1].split("";"")]
",if len ( parts ) == 2 :,98
"def __iter__(self):
    while True:
        keys = self.ns_range.make_datastore_query().Get(limit=self._batch_size)
        if not keys:
            break
        for key in keys:
            namespace = metadata.Namespace.key_to_namespace(key)
            self.ns_range = self.ns_range.with_start_after(namespace)
            yield namespace
",if not keys :,107
"def run(self):
    if self.check():
        print_success(""Target appears to be vulnerable."")
        path = self.valid_resource.format(self.filename)
        response = self.http_request(
            method=""GET"",
            path=path,
        )
        if response is None:
            print_error(""Error with reading response"")
            return
        if response.text:
            print_status(""Reading file: {}"".format(self.filename))
            print_info(response.text)
        else:
            print_error(""Exploit failed - empty response"")
    else:
        print_error(""Exploit failed - target seems to be not vulnerable"")
",if response is None :,180
"def pack_items(self, parent, items):
    if self._size > 0:
        self.ipr = self._size
    else:
        self.ipr = int(math.sqrt(max(1, len(items) - 1)) + 1)
        if len(items) == 6:
            self.ipr = 3  # Special (common) cases
        if len(items) == 8:
            self.ipr = 4  # Special (common) cases
    x, y = 0, 0
    for item in items:
        parent.attach(item.widget, x, y, 1, 1)
        x += 1
        if x >= self.ipr:
            x = 0
            y += 1
",if len ( items ) == 6 :,186
"def __call__(self, response, obj, headers):
    for message in obj:
        if message.message_text in [None, """", b""""]:
            continue
        content = message.message_text
        if (self.key_encryption_key is not None) or (self.resolver is not None):
            content = decrypt_queue_message(
                content,
                response,
                self.require_encryption,
                self.key_encryption_key,
                self.resolver,
            )
        message.message_text = self.decode(content, response)
    return obj
",if ( self . key_encryption_key is not None ) or ( self . resolver is not None ) :,162
"def make_arg(arg):
    if empty:
        return np.empty((1,) * max(1, arg.ndim), dtype=arg.dtype)
    else:
        if hasattr(arg, ""op"") and hasattr(arg.op, ""data""):
            arg = arg.op.data
        return arg[(0,) * max(1, arg.ndim)]
","if hasattr ( arg , ""op"" ) and hasattr ( arg . op , ""data"" ) :",91
"def walk_node(node, **kwargs):
    negated = kwargs[""negated""]
    if node.negated:
        negated = not negated
    for child in node.children:
        new_kwargs = kwargs.copy()
        new_kwargs[""negated""] = negated
        if not getattr(child, ""children"", []):
            leaf_callback(child, **new_kwargs)
        else:
            new_parent = trunk_callback(child, **new_kwargs)
            if new_parent:
                new_kwargs[""new_parent""] = new_parent
            walk_node(child, **new_kwargs)
",if new_parent :,158
"def _makeDict(instructionList):
    opcodeDict = {}
    mnemonicDict = {}
    for op, mnemonic, argBits, name, pops, pushes in instructionList:
        assert _mnemonicPat.match(mnemonic)
        mnemonicDict[mnemonic] = op, argBits, name
        if argBits:
            argoffset = op
            for i in range(1 << argBits):
                opcodeDict[op + i] = mnemonic, argBits, argoffset, name
        else:
            opcodeDict[op] = mnemonic, 0, 0, name
    return opcodeDict, mnemonicDict
",if argBits :,168
"def _validate_sid_uniqueness(self):
    sids = []
    for statement in self._statements:
        if ""Sid"" in statement:
            statementId = statement[""Sid""]
            if statementId:
                assert statementId not in sids
                sids.append(statementId)
","if ""Sid"" in statement :",83
"def dumpConnections(node):
    ""Helper function: dump connections to node""
    for intf in node.intfList():
        output("" %s:"" % intf)
        if intf.link:
            intfs = [intf.link.intf1, intf.link.intf2]
            intfs.remove(intf)
            output(intfs[0])
        else:
            output("" "")
",if intf . link :,113
"def _get_warnings(log_content, return_data):
    warnings = {}
    missing_files = find_missing_files(log_content)
    if missing_files:
        warnings[""missing_files""] = missing_files
    wrong_engine = find_wrong_renderer_warning(log_content)
    if wrong_engine:
        warnings[""wrong_engine""] = wrong_engine
    if warnings:
        if return_data.get(""warnings""):
            return_warnings = return_data.get(""warnings"")
            if return_warnings.get(""missing_files""):
                return_data[""warnings""][""missing_files""].extend(
                    warnings[""missing_files""]
                )
        else:
            return_data[""warnings""] = warnings
","if return_warnings . get ( ""missing_files"" ) :",194
"def add_hole(face):
    used = set()  # type: Set['Face']
    stack = [hedge.twin for hedge in face.inners]
    while stack:
        next_face = stack.pop().face
        if next_face in used:
            continue
        if id(face) == id(next_face):
            continue
        used.add(next_face)
        for loop_hedge in next_face.outer.loop_hedges:
            stack.append(loop_hedge.twin)
        if next_face.inners:
            del_hole(next_face)
",if next_face in used :,161
"def __init__(self, content=b"""", mimetype=None, code=200):
    self._iter = None
    self._is_str_iter = True
    self.content = content
    self.headers = HeaderDict()
    self.cookies = SimpleCookie()
    self.status_code = code
    defaults = self.defaults._current_obj()
    if not mimetype:
        mimetype = defaults.get(""content_type"", ""text/html"")
        charset = defaults.get(""charset"")
        if charset:
            mimetype = ""%s; charset=%s"" % (mimetype, charset)
    self.headers.update(defaults.get(""headers"", {}))
    self.headers[""Content-Type""] = mimetype
    self.errors = defaults.get(""errors"", ""strict"")
",if charset :,185
"def _store_parsers(
    parser, parser_keys, parser_values, sub_parser_keys, sub_parser_values
):
    for s in parser.subparsers.values():
        parser_keys.append(_get_parser_name(s))
        parser_values.append(s)
        if _is_group(s):
            for c in s.choices.values():
                sub_parser_keys.append(_get_parser_name(c))
                sub_parser_values.append(c)
                _store_parsers(
                    c, parser_keys, parser_values, sub_parser_keys, sub_parser_values
                )
",if _is_group ( s ) :,174
"def get(self):
    """"""Get next event from queue.""""""
    inputHookFunc = c_int.from_address(self.inputHookPtr).value
    Cevent = INPUT_RECORD()
    count = c_int(0)
    while 1:
        if inputHookFunc:
            call_function(inputHookFunc, ())
        status = self.ReadConsoleInputW(self.hin, byref(Cevent), 1, byref(count))
        if status and count.value == 1:
            e = event(self, Cevent)
            log_sock(ensure_unicode(e.keyinfo), ""keypress"")
            return e
",if status and count . value == 1 :,159
"def GetItemChildren(self, item=None, recursively=False):
    """"""Return the children of item as a list.""""""
    if not item:
        item = self.GetRootItem()
        if not item:
            return []
    children = []
    child, cookie = self.GetFirstChild(item)
    while child:
        children.append(child)
        if recursively:
            children.extend(self.GetItemChildren(child, True))
        child, cookie = self.GetNextChild(item, cookie)
    return children
",if not item :,135
"def _merge_inheritable_dicts_(cls, models):
    super(AuthModel, cls)._merge_inheritable_dicts_(models)
    for attr in cls._additional_inheritable_dict_attrs_:
        if isinstance(attr, tuple):
            attr_name = attr[0]
        else:
            attr_name = attr
        attrs = {}
        for model in models:
            if not issubclass(model, AuthModel):
                continue
            superattrs = getattr(model, attr_name)
            for k, v in superattrs.items():
                attrs[k] = v
        for k, v in getattr(cls, attr_name).items():
            attrs[k] = v
        setattr(cls, attr_name, attrs)
","if not issubclass ( model , AuthModel ) :",198
"def _initialize_weights(self) -> None:
    for m in self.modules():
        if isinstance(m, nn.Conv2d) or isinstance(m, nn.Linear):
            import scipy.stats as stats
            X = stats.truncnorm(-2, 2, scale=0.01)
            values = torch.as_tensor(X.rvs(m.weight.numel()), dtype=m.weight.dtype)
            values = values.view(m.weight.size())
            with torch.no_grad():
                m.weight.copy_(values)
        elif isinstance(m, nn.BatchNorm2d):
            nn.init.constant_(m.weight, 1)
            nn.init.constant_(m.bias, 0)
","elif isinstance ( m , nn . BatchNorm2d ) :",191
"def _value_to_so_vector(value, ids=None):
    if not isinstance(value, collections.Sequence) or _is_str(value):
        raise TypeError(
            ""Expected list/sequence of SerializableObjects;""
            "" found type '{}'"".format(type(value))
        )
    av = AnyVector()
    for e in value:
        if not isinstance(e, SerializableObject):
            raise TypeError(
                ""Expected list/sequence of SerializableObjects;""
                "" found element of type '{}'"".format(type(e))
            )
        av.append(e)
    return PyAny(av)
","if not isinstance ( e , SerializableObject ) :",163
"def await_reservations(self, sc, status={}, timeout=600):
    """"""Block until all reservations are received.""""""
    timespent = 0
    while not self.reservations.done():
        logger.info(
            ""waiting for {0} reservations"".format(self.reservations.remaining())
        )
        # check status flags for any errors
        if ""error"" in status:
            sc.cancelAllJobs()
            sc.stop()
            sys.exit(1)
        time.sleep(1)
        timespent += 1
        if timespent > timeout:
            raise Exception(""timed out waiting for reservations to complete"")
    logger.info(""all reservations completed"")
    return self.reservations.get()
","if ""error"" in status :",199
"def generate_samples(self, data_dir, tmp_dir, unused_dataset_split):
    counter = 0
    done = False
    while not done:
        for frame_number, frame in enumerate(self.generate_stochastic_shape_instance()):
            if counter >= self.total_number_of_frames:
                done = True
                break
            yield {""frame"": frame, ""frame_number"": [frame_number]}
            counter += 1
",if counter >= self . total_number_of_frames :,118
"def dtype_to_ctype(dtype, with_fp_tex_hack=False):
    if dtype is None:
        raise ValueError(""dtype may not be None"")
    dtype = np.dtype(dtype)
    if with_fp_tex_hack:
        if dtype == np.float32:
            return ""fp_tex_float""
        elif dtype == np.float64:
            return ""fp_tex_double""
        elif dtype == np.complex64:
            return ""fp_tex_cfloat""
        elif dtype == np.complex128:
            return ""fp_tex_cdouble""
    return base_dtype_to_ctype(dtype)
",elif dtype == np . float64 :,167
"def __len__(self):
    if self.data is None:
        _fill_lock.acquire()
        try:
            if self.data is None:
                self._fill()
        finally:
            _fill_lock.release()
    return len(self.data)
",if self . data is None :,76
"def generate(self):
    sample_n = 0
    # in samples
    cycle_length = self.sample_rate / float(self.freq)
    midpoint = cycle_length * self.duty_cycle
    ascend_length = midpoint
    descend_length = cycle_length - ascend_length
    while True:
        cycle_position = sample_n % cycle_length
        if cycle_position < midpoint:
            yield (2 * cycle_position / ascend_length) - 1.0
        else:
            yield 1.0 - (2 * (cycle_position - midpoint) / descend_length)
        sample_n += 1
",if cycle_position < midpoint :,158
"def recurse(node):
    result = []  # collections.deque()
    if node is not None:
        if node.position < offset < node.endTimeHigh:
            result.extend(recurse(node.leftChild))
            # This currently requires timespans not elements, and list payloads...
            # TODO: Fix/disambiguate.
            for el in node.payload:
                if offset < self.elementEndTime(el, node):
                    result.append(el)
            result.extend(recurse(node.rightChild))
        elif offset <= node.position:
            result.extend(recurse(node.leftChild))
    return result
",if node . position < offset < node . endTimeHigh :,171
"def add_aggregates(self, queryset, display_fields):
    agg_funcs = {""Avg"": Avg, ""Min"": Min, ""Max"": Max, ""Count"": Count, ""Sum"": Sum}
    for display_field in display_fields:
        if display_field.aggregate:
            func = agg_funcs[display_field.aggregate]
            full_name = display_field.path + display_field.field
            queryset = queryset.annotate(func(full_name))
    return queryset
",if display_field . aggregate :,123
"def __init__(
    self, setting, newValue, settings=None, autoResolve=False, ignoreOld=False
):
    ActionConflict.__init__(self, setting, settings, autoResolve)
    self.Name = _(""button"")
    if not newValue:
        return
    newValue = newValue.lower()
    oldValue = self.Setting.Value.lower()
    badValues = [""disabled"", ""none""]
    if not ignoreOld:
        badValues.append(oldValue)
    if newValue in badValues:
        return
    for s in self.Settings:
        if s is setting:
            continue
        if s.Type == ""Button"":
            if s.Value.lower() == newValue:
                self.Conflicts.append(s)
","if s . Type == ""Button"" :",191
"def inner(**kwargs):
    coro = func(**kwargs)
    if coro is not None:
        task = asyncio.ensure_future(coro, loop=_loop)
        try:
            _loop.run_until_complete(task)
        except BaseException:
            # run_until_complete doesn't get the result from exceptions
            # that are not subclasses of `Exception`. Consume all
            # exceptions to prevent asyncio's warning from logging.
            if task.done() and not task.cancelled():
                task.exception()
            raise
",if task . done ( ) and not task . cancelled ( ) :,140
"def prune(model, amount=0.3):
    # Prune model to requested global sparsity
    import torch.nn.utils.prune as prune
    print(""Pruning model... "", end="""")
    for name, m in model.named_modules():
        if isinstance(m, nn.Conv2d):
            prune.l1_unstructured(m, name=""weight"", amount=amount)  # prune
            prune.remove(m, ""weight"")  # make permanent
    print("" %.3g global sparsity"" % sparsity(model))
","if isinstance ( m , nn . Conv2d ) :",130
"def robot_fetch(path):
    """"""Check if robots can fetch a file.""""""
    for rule in kw[""robots_exclusions""]:
        robot = robotparser.RobotFileParser()
        robot.parse([""User-Agent: *"", ""Disallow: {0}"".format(rule)])
        if sys.version_info[0] == 3:
            if not robot.can_fetch(""*"", ""/"" + path):
                return False  # not robot food
        else:
            if not robot.can_fetch(""*"", (""/"" + path).encode(""utf-8"")):
                return False  # not robot food
    return True
",if sys . version_info [ 0 ] == 3 :,158
"def check_not_vislist_intent(self):
    syntaxMsg = (
        ""The intent that you specified corresponds to more than one visualization. ""
        ""Please replace the Vis constructor with VisList to generate a list of visualizations. ""
        ""For more information, see: https://lux-api.readthedocs.io/en/latest/source/guide/vis.html#working-with-collections-of-visualization-with-vislist""
    )
    for i in range(len(self._intent)):
        clause = self._intent[i]
        if isinstance(clause, str):
            if ""|"" in clause or ""?"" in clause:
                raise TypeError(syntaxMsg)
        if isinstance(clause, list):
            raise TypeError(syntaxMsg)
","if ""|"" in clause or ""?"" in clause :",186
"def __call__(self, data):
    if self._apply_shift:
        if not hasattr(data, ""coords""):
            raise Exception(""should quantize first using GridSampling3D"")
        if not isinstance(data.coords, torch.IntTensor):
            raise Exception(
                ""The pos are expected to be coordinates, so torch.IntTensor""
            )
        data.coords[:, :3] += (torch.rand(3) * 100).type_as(data.coords)
    return data
","if not isinstance ( data . coords , torch . IntTensor ) :",127
"def get_config(cls, config):
    out = {}
    with git_config.GitConfigParser(config, read_only=True) as config:
        section = 'gitrepo ""{}""'.format(cls.name)
        if config.has_section(section):
            for option in cls.config_options:
                if config.has_option(section, option):
                    out[option] = config.get(section, option)
    return out
",if config . has_section ( section ) :,116
"def checkComments(self, line):
    """"""Check to see if the line/lines is a comment.""""""
    if not self.inCommentBlock:
        if ""["" in line:
            if ""]"" not in line:
                self.inCommentBlock = True
            else:
                return ""Nextline""  # need to move on to the nextline after getting out of comment
    else:
        if ""]"" in line:
            if line.rfind(""["") > line.rfind(""]""):
                pass  # a comment block is closed but another is open.
            else:
                self.inCommentBlock = False
                return ""Nextline""  # need to move on to the nextline after getting out of comment
    return """"
","if ""["" in line :",188
"def done(res):
    if isinstance(res, failure.Failure):
        res.trap(expected_failure)
        if substring:
            self.failUnless(
                substring in str(res),
                ""%s: substring '%s' not in '%s'"" % (which, substring, str(res)),
            )
        # return the Failure for further analysis, but in a form that
        # doesn't make the Deferred chain think that we failed.
        return [res]
    else:
        self.fail(
            ""%s was supposed to raise %s, not get '%s'"" % (which, expected_failure, res)
        )
",if substring :,169
"def best_version_match(vers_num, item_dict):
    """"""Attempts to find the best match in item_dict for vers_num""""""
    vers_tuple = vers_num.split(""."")
    precision = 1
    while precision <= len(vers_tuple):
        test_vers = ""."".join(vers_tuple[0:precision])
        match_names = []
        for item in item_dict.keys():
            for item_version in item_dict[item]:
                if item_version.startswith(test_vers) and item not in match_names:
                    match_names.append(item)
        if len(match_names) == 1:
            return match_names[0]
        precision = precision + 1
    return None
",if len ( match_names ) == 1 :,189
"def validate_work_dir(s):
    dirs = s.split("":"")
    if len(dirs) != 2:
        print(
            ""work-dir %s is not in format local_abs_dir:container_abs_dir"" % s,
            file=sys.stderr,
        )
        sys.exit(1)
    for d in dirs:
        if not os.path.isabs(d):
            print(""%s is not an absolute path"" % d, file=sys.stderr)
            sys.exit(1)
",if not os . path . isabs ( d ) :,137
"def unknown_endtag(self, tag):
    if not tag in self.acceptable_elements:
        if tag in self.unacceptable_elements_with_end_tag:
            self.unacceptablestack -= 1
        if self.mathmlOK and tag in self.mathml_elements:
            if tag == ""math"" and self.mathmlOK:
                self.mathmlOK -= 1
        elif self.svgOK and tag in self.svg_elements:
            tag = self.svg_elem_map.get(tag, tag)
            if tag == ""svg"" and self.svgOK:
                self.svgOK -= 1
        else:
            return
    _BaseHTMLProcessor.unknown_endtag(self, tag)
",if self . mathmlOK and tag in self . mathml_elements :,189
"def __init__(self, message, response=None):
    # Unfortunately the store doesn't give us a consistent error response,
    # so we'll check the ones of which we're aware.
    with contextlib.suppress(AttributeError, JSONDecodeError):
        response_json = response.json()
        extra_error_message = """"
        if ""error_message"" in response_json:
            extra_error_message = response_json[""error_message""]
        elif ""message"" in response_json:
            extra_error_message = response_json[""message""]
        if extra_error_message:
            message += "": {}"".format(extra_error_message)
    super().__init__(response=response, message=message)
","if ""error_message"" in response_json :",175
"def compile_output(
    ir_set: irast.Set, *, ctx: context.CompilerContextLevel
) -> pgast.OutputVar:
    with ctx.new() as newctx:
        if newctx.expr_exposed is None:
            newctx.expr_exposed = True
        dispatch.visit(ir_set, ctx=newctx)
        path_id = ir_set.path_id
        if output.in_serialization_ctx(ctx) and newctx.stmt is newctx.toplevel_stmt:
            val = pathctx.get_path_serialized_output(ctx.rel, path_id, env=ctx.env)
        else:
            val = pathctx.get_path_value_output(ctx.rel, path_id, env=ctx.env)
    return val
",if output . in_serialization_ctx ( ctx ) and newctx . stmt is newctx . toplevel_stmt :,198
"def set_python_instance_state(self, instance, state):
    if hasattr(instance, ""__setstate__""):
        instance.__setstate__(state)
    else:
        slotstate = {}
        if isinstance(state, tuple) and len(state) == 2:
            state, slotstate = state
        if hasattr(instance, ""__dict__""):
            instance.__dict__.update(state)
        elif state:
            slotstate.update(state)
        for key, value in slotstate.items():
            setattr(object, key, value)
","if isinstance ( state , tuple ) and len ( state ) == 2 :",137
"def set_etc_timezone(
    tz, tz_file=None, tz_conf=""/etc/timezone"", tz_local=""/etc/localtime""
):
    util.write_file(tz_conf, str(tz).rstrip() + ""\n"")
    # This ensures that the correct tz will be used for the system
    if tz_local and tz_file:
        # use a symlink if there exists a symlink or tz_local is not present
        islink = os.path.islink(tz_local)
        if islink or not os.path.exists(tz_local):
            if islink:
                util.del_file(tz_local)
            os.symlink(tz_file, tz_local)
        else:
            util.copy(tz_file, tz_local)
    return
",if islink :,196
"def scan_resource_conf(self, conf):
    if ""rotation_period"" in conf.keys():
        time = force_int(conf[""rotation_period""][0][:-1])
        if time and ONE_DAY <= time <= NINETY_DAYS:
            return CheckResult.PASSED
    return CheckResult.FAILED
",if time and ONE_DAY <= time <= NINETY_DAYS :,81
"def _get_available_commands(stdout):
    commands_listing = False
    for line in stdout.split(""\n""):
        if line.startswith(""where <command> is one of:""):
            commands_listing = True
        elif commands_listing:
            if not line:
                break
            for command in line.split("", ""):
                stripped = command.strip()
                if stripped:
                    yield stripped
",if not line :,115
"def acquire_read_lock(self, wait=True):
    """"""Acquire the 'read' lock.""""""
    self.condition.acquire()
    try:
        # see if a synchronous operation is waiting to start
        # or is already running, in which case we wait (or just
        # give up and return)
        if wait:
            while self.current_sync_operation is not None:
                self.condition.wait()
        else:
            if self.current_sync_operation is not None:
                return False
        self.async_ += 1
        log.debug(""%s acquired read lock"", self)
    finally:
        self.condition.release()
    if not wait:
        return True
",if self . current_sync_operation is not None :,186
"def _linux_get_ifaces(self):
    ifaces = []
    procfs_path = ""/proc/net/dev""
    try:
        with open(procfs_path, ""r"") as f:
            lines = f.read().split(""\n"")
            for line in lines:
                # Only lines with colons contain interface names
                if "":"" in line:
                    fields = line.split("":"")
                    ifaces.append(fields[0].strip())
    except IOError as e:
        self.logger.error(
            ""Failed to open %s to enumerate interfaces: %s"" % (procfs_path, e.message)
        )
    return ifaces
",ifaces . append ( fields [ 0 ] . strip ( ) ),179
"def access_token(self):
    """"""WeChat component access token""""""
    access_token = self.session.get(""component_access_token"")
    if access_token:
        if not self.expires_at:
            # user provided access_token, just return it
            return access_token
        timestamp = time.time()
        if self.expires_at - timestamp > 60:
            return access_token
    self.fetch_access_token()
    return self.session.get(""component_access_token"")
",if not self . expires_at :,131
"def apply(self, s, item, evaluation):
    ""AppendTo[s_, item_]""
    if isinstance(s, Symbol):
        resolved_s = s.evaluate(evaluation)
        if not resolved_s.is_atom():
            result = Expression(""Set"", s, Expression(""Append"", resolved_s, item))
            return result.evaluate(evaluation)
    return evaluation.message(""AppendTo"", ""rvalue"", s)
",if not resolved_s . is_atom ( ) :,105
"def server_address(self):
    if self.server_address_ is None:
        self.lazy_init_lock_.acquire()
        try:
            if self.server_address_ is None:
                self.server_address_ = AddressPort()
        finally:
            self.lazy_init_lock_.release()
    return self.server_address_
",if self . server_address_ is None :,95
"def convert_body_to_file_like_object(params, **kwargs):
    if ""Body"" in params:
        if isinstance(params[""Body""], six.string_types):
            params[""Body""] = six.BytesIO(ensure_bytes(params[""Body""]))
        elif isinstance(params[""Body""], six.binary_type):
            params[""Body""] = six.BytesIO(params[""Body""])
","elif isinstance ( params [ ""Body"" ] , six . binary_type ) :",98
"def get_submodel_args_dict(args):
    submodel_argv = get_submodel_argv(args)
    result = {}
    i = 0
    while i < len(submodel_argv):
        arg = submodel_argv[i]
        next_arg = None if i == len(submodel_argv) - 1 else submodel_argv[i + 1]
        if next_arg and arg.startswith(""--""):
            if next_arg.startswith(""--""):
                result[arg[2:]] = True
            else:
                result[arg[2:]] = next_arg
                i += 1
        elif arg.startswith(""--""):
            result[arg[2:]] = True
        i += 1
    return result
","elif arg . startswith ( ""--"" ) :",188
"def dataStandart(data, dept, nominal_dept):
    """"""data from nasting to standart: TO container( objects( lists( floats, ), ), )""""""
    deptl = dept - 1
    output = []
    for object in data:
        if deptl >= nominal_dept:
            output.extend(dataStandart(object, deptl, nominal_dept))
        else:
            output.append(data)
            return output
    return output
",if deptl >= nominal_dept :,122
"def tamper(payload, **kwargs):
    danger_chars = string.punctuation + "" ""
    extra_danger_chars = (""_"", ""."")
    retval = """"
    for char in list(payload):
        if char not in danger_chars:
            retval += char
        elif char == extra_danger_chars[0]:
            retval += quote_plus(""%255F"")
        elif char == extra_danger_chars[1]:
            retval += quote_plus(""%252E"")
        else:
            retval += quote_plus(quote_plus(quote_plus(char)))
    return retval
",if char not in danger_chars :,150
